Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;; Total;1.770;1.620;3.390
;Total;;92.848;83.624;176.472
Orellana;AGUARICO                      ; CAPITAN AUGUSTO RIBADENEYRA;350;351;701
;; CONONACO;269;250;519
;; NUEVO ROCAFUERTE;527;497;1.024
;; SANTA MARIA DE HUIRIRIMA;390;339;729
;; TIPUTINI;966;631;1.597
;; YASUNI;150;127;277
;; Total;2.652;2.195;4.847
;LA JOYA DE LOS SACHAS         ; ENOKANQUI;1.222;1.140;2.362
;; LA JOYA DE LOS SACHAS;9.433;8.501;17.934
;; LAGO SAN PEDRO;988;873;1.861
;; POMPEYA;606;598;1.204
;; RUMIPAMBA;1.102;891;1.993
;; SAN CARLOS;1.539;1.307;2.846
;; SAN SEBASTIAN DEL COCA;1.742;1.611;3.353
;; TRES DE NOVIEMBRE;1.677;1.461;3.138
;; UNION MILAGREÑA;1.607;1.293;2.900
;; Total;19.916;17.675;37.591
;LORETO                        ; AVILA;2.259;2.072;4.331
;; LORETO;2.179;2.048;4.227
;; PUERTO MURIALDO;1.766;1.609;3.375
;; SAN JOSE DE DAHUANO;2.644;2.403;5.047
;; SAN JOSE DE PAYAMINO;1.629;1.496;3.125
;; SAN VICENTE DE HUATICOCHA;562;496;1.058
;; Total;11.039;10.124;21.163
;ORELLANA                      ; ALEJANDRO LABAKA;647;590;1.237
;; DAYUMA;3.524;2.774;6.298
;; EL DORADO;872;767;1.639
;; EL EDEN;469;431;900
;; GARCIA MORENO;594;497;1.091
;; INES ARANGO;1.617;1.421;3.038
;; LA BELLEZA;2.180;1.953;4.133
;; NUEVO PARAISO;1.538;1.179;2.717
;; PUERTO FRANCISCO DE ORELLANA;23.598;21.565;45.163
;; SAN JOSE DE GUAYUSA;1.032;919;1.951
;; SAN LUIS DE ARMENIA;1.049;963;2.012
;; TARACOA;1.403;1.213;2.616
;; Total;38.523;34.272;72.795
;Total;;72.130;64.266;136.396
Santo Domingo;SANTO DOMINGO DE LOS TSACHILAS; ALLURIQUIN;5.023;4.702;9.725
;; EL ESFUERZO;3.020;2.743;5.763
;; LUZ DE AMERICA;5.690;5.191;10.881
;; PUERTO LIMON;4.892;4.452;9.344
;; SAN JACINTO DEL BUA;6.134;5.584;11.718
;; SANTA MARIA DEL TOACHI;2.991;2.624;5.615
;; SANTO DOMINGO DE LOS COLORADOS;150.428;155.204;305.632
;; VALLE HERMOSO;4.880;4.455;9.335
;; Total;183.058;184.955;368.013
;Total;;183.058;184.955;368.013
Santa Elena;LIBERTAD                      ; LA LIBERTAD;48.030;47.912;95.942
;; Total;48.030;47.912;95.942
;SALINAS                       ; ANCONCITO;6.116;5.706;11.822
;; JOSE LUIS TAMAYO;11.054;11.010;22.064
;; SALINAS;18.266;16.523;34.789
;; Total;35.436;33.239;68.675
;SANTA ELENA                   ; ATAHUALPA;1.689;1.843;3.532
;; CHANDUY;8.337;8.026;16.363
;; COLONCHE;16.158;15.164;31.322
;; MANGLARALTO;15.200;14.312;29.512
;; SAN JOSE DE ANCON;3.439;3.438;6.877
;; SANTA ELENA;26.816;26.358;53.174
;; SIMON BOLIVAR;1.757;1.539;3.296
;; Total;73.396;70.680;144.076
;Total;;156.862;151.831;308.693
Zonas No Delimitadas;EL PIEDRERO                   ; EL PIEDRERO;3.305;3.019;6.324
;; Total;3.305;3.019;6.324
;LAS GOLONDRINAS               ; LAS GOLONDRINAS;2.768;2.534;5.302
;; Total;2.768;2.534;5.302
;MANGA DEL CURA                ; MANGA DEL CURA;11.083;9.675;20.758
;; Total;11.083;9.675;20.758
;Total;;17.156;15.228;32.384
