Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;; NAZON;1.106;1.459;2.565
;; SAN FRANCISCO DE SAGEO;765;966;1.731
;; TURUPAMBA;455;616;1.071
;; Total;9.193;11.624;20.817
;CAÑAR                         ; CAÑAR;8.509;9.826;18.335
;; CHONTAMARCA;1.916;2.224;4.140
;; CHOROCOPTE;1.397;1.691;3.088
;; DUCUR;2.077;2.076;4.153
;; GENERAL MORALES;1.609;1.791;3.400
;; GUALLETURO;1.756;2.086;3.842
;; HONORATO VASQUEZ;2.697;3.529;6.226
;; INGAPIRCA;3.683;4.657;8.340
;; JUNCAL;976;1.193;2.169
;; SAN ANTONIO;1.024;950;1.974
;; VENTURA;632;656;1.288
;; ZHUD;1.094;1.274;2.368
;; Total;27.370;31.953;59.323
;DELEG                         ; DELEG;1.878;2.555;4.433
;; SOLANO;751;916;1.667
;; Total;2.629;3.471;6.100
;EL TAMBO                      ; EL TAMBO;4.364;5.111;9.475
;; Total;4.364;5.111;9.475
;LA TRONCAL                    ; LA TRONCAL;21.176;21.434;42.610
;; MANUEL J. CALLE;1.442;1.323;2.765
;; PANCHO NEGRO;4.702;4.312;9.014
;; Total;27.320;27.069;54.389
;SUSCAL                        ; SUSCAL;2.271;2.745;5.016
;; Total;2.271;2.745;5.016
; Total;;105.235;119.949;225.184
Carchi;BOLIVAR                       ; BOLIVAR;2.623;2.583;5.206
;; GARCIA MORENO;695;711;1.406
;; LOS ANDES;1.082;1.178;2.260
;; MONTE OLIVO;889;801;1.690
;; SAN RAFAEL;873;868;1.741
;; SAN VICENTE DE PUSIR;1.004;1.040;2.044
;; Total;7.166;7.181;14.347
;ESPEJO                        ; EL ANGEL;3.044;3.281;6.325
;; EL GOALTAL;436;380;816
;; LA LIBERTAD (ALIZO);1.741;1.761;3.502
;; SAN ISIDRO;1.306;1.415;2.721
;; Total;6.527;6.837;13.364
;;;Hombre;Mujer;Total
;MIRA                          ; CONCEPCION;1.414;1.393;2.807
;; JIJON Y CAAMAÑO;1.101;970;2.071
;; JUAN MONTALVO;671;637;1.308
;; MIRA (CHONTAHUASI);2.935;3.059;5.994
;; Total;6.121;6.059;12.180
;MONTUFAR                      ; CHITAN DE NAVARRETE;313;305;618
