"Provincia","Canton"," Parroquia","Hombre","Mujer","Total"
"Bolivar",""," TELIMBELA","1669","1588","3257"
"Bolivar",""," Total","7653","8126","15779"
"Bolivar","SAN MIGUEL                    "," BALSAPAMBA","1415","1350","2765"
"Bolivar",""," BILOVAN","1375","1370","2745"
"Bolivar",""," REGULO DE MORA","468","476","944"
"Bolivar",""," SAN MIGUEL","5880","6529","12409"
"Bolivar",""," SAN PABLO","2640","2849","5489"
"Bolivar",""," SAN VICENTE","572","571","1143"
"Bolivar",""," SANTIAGO","875","874","1749"
"Bolivar",""," Total","13225","14019","27244"
"Bolivar"," Total","","89875","93766","183641"
"Cañar","AZOGUES                       "," AZOGUES","17667","20328","37995"
"Cañar",""," COJITAMBO","1594","2095","3689"
"Cañar",""," GUAPAN","3933","4920","8853"
"Cañar",""," JAVIER LOYOLA","3142","3665","6807"
"Cañar",""," LUIS CORDERO","1690","2181","3871"
"Cañar",""," PINDILIG","973","1130","2103"
"Cañar",""," RIVERA","722","820","1542"
"Cañar",""," SAN MIGUEL","1613","1954","3567"
"Cañar",""," TADAY","754","883","1637"
"Cañar",""," Total","32088","37976","70064"
"Cañar","BIBLIAN                       "," BIBLIAN","6106","7599","13705"
"Cañar",""," JERUSALEN","761","984","1745"
"Cañar",""," NAZON","1106","1459","2565"
"Cañar",""," SAN FRANCISCO DE SAGEO","765","966","1731"
"Cañar",""," TURUPAMBA","455","616","1071"
"Cañar",""," Total","9193","11624","20817"
"Cañar","CAÑAR                         "," CAÑAR","8509","9826","18335"
"Cañar",""," CHONTAMARCA","1916","2224","4140"
"Cañar",""," CHOROCOPTE","1397","1691","3088"
"Cañar",""," DUCUR","2077","2076","4153"
"Cañar",""," GENERAL MORALES","1609","1791","3400"
"Cañar",""," GUALLETURO","1756","2086","3842"
"Cañar",""," HONORATO VASQUEZ","2697","3529","6226"
"Cañar",""," INGAPIRCA","3683","4657","8340"
"Cañar",""," JUNCAL","976","1193","2169"
"Cañar",""," SAN ANTONIO","1024","950","1974"
"Cañar",""," VENTURA","632","656","1288"
"Cañar",""," ZHUD","1094","1274","2368"
"Cañar",""," Total","27370","31953","59323"
"Cañar","DELEG                         "," DELEG","1878","2555","4433"
"Cañar",""," SOLANO","751","916","1667"
"Cañar",""," Total","2629","3471","6100"
"Cañar","EL TAMBO                      "," EL TAMBO","4364","5111","9475"
"Cañar",""," Total","4364","5111","9475"
"Cañar","LA TRONCAL                    "," LA TRONCAL","21176","21434","42610"
"Cañar",""," MANUEL J. CALLE","1442","1323","2765"
"Cañar",""," PANCHO NEGRO","4702","4312","9014"
"Cañar",""," Total","27320","27069","54389"
"Cañar","SUSCAL                        "," SUSCAL","2271","2745","5016"
"Cañar",""," Total","2271","2745","5016"
"Cañar"," Total","","105235","119949","225184"
"Carchi","BOLIVAR                       "," BOLIVAR","2623","2583","5206"
"Carchi",""," GARCIA MORENO","695","711","1406"
"Carchi",""," LOS ANDES","1082","1178","2260"
"Carchi",""," MONTE OLIVO","889","801","1690"
"Carchi",""," SAN RAFAEL","873","868","1741"
"Carchi",""," SAN VICENTE DE PUSIR","1004","1040","2044"
"Carchi",""," Total","7166","7181","14347"
"Carchi","ESPEJO                        "," EL ANGEL","3044","3281","6325"
"Carchi",""," EL GOALTAL","436","380","816"
"Carchi",""," LA LIBERTAD (ALIZO)","1741","1761","3502"
"Carchi",""," SAN ISIDRO","1306","1415","2721"
"Carchi",""," Total","6527","6837","13364"
"Carchi","","","Hombre","Mujer","Total"
"Carchi","MIRA                          "," CONCEPCION","1414","1393","2807"
"Carchi",""," JIJON Y CAAMAÑO","1101","970","2071"
"Carchi",""," JUAN MONTALVO","671","637","1308"
"Carchi",""," MIRA (CHONTAHUASI)","2935","3059","5994"
"Carchi",""," Total","6121","6059","12180"
"Carchi","MONTUFAR                      "," CHITAN DE NAVARRETE","313","305","618"
"Carchi",""," CRISTOBAL COLON","1449","1494","2943"
"Carchi",""," FERNANDEZ SALVADOR","663","619","1282"
"Carchi",""," LA PAZ","1665","1767","3432"
"Carchi",""," PIARTAL","586","554","1140"
"Carchi",""," SAN GABRIEL","10234","10862","21096"
"Carchi",""," Total","14910","15601","30511"
"Carchi","SAN PEDRO DE HUACA            "," HUACA","3163","3078","6241"
"Carchi",""," MARISCAL SUCRE","684","699","1383"
"Carchi",""," Total","3847","3777","7624"
"Carchi","TULCAN                        "," EL CARMELO (EL PUN)","1405","1384","2789"
"Carchi",""," EL CHICAL","1756","1681","3437"
"Carchi",""," JULIO ANDRADE (OREJUELA)","4876","4758","9634"
"Carchi",""," MALDONADO","893","810","1703"
"Carchi",""," PIOTER","367","351","718"
"Carchi",""," SANTA MARTHA DE CUBA","1196","1170","2366"
"Carchi",""," TOBAR DONOSO (LA BOCANA)","473","432","905"
"Carchi",""," TUFIÑO","1171","1168","2339"
"Carchi",""," TULCAN","29312","31091","60403"
"Carchi",""," URBINA (TAYA)","1135","1069","2204"
"Carchi",""," Total","42584","43914","86498"
"Carchi","Total","","81155","83369","164524"
"Cotopaxi","LA MANA                       "," GUASAGANDA","1997","1911","3908"
"Cotopaxi",""," LA MANA","18359","17895","36254"
"Cotopaxi",""," PUCAYACU","1064","990","2054"
"Cotopaxi",""," Total","21420","20796","42216"
"Cotopaxi","LATACUNGA                     "," 11 DE NOVIEMBRE (ILINCHI","944","1044","1988"
"Cotopaxi",""," ALAQUES (ALAQUEZ)","2625","2856","5481"
"Cotopaxi",""," BELISARIO QUEVEDO","2991","3368","6359"
"Cotopaxi",""," GUAITACAMA (GUAYTACAMA)","5128","4540","9668"
"Cotopaxi",""," JOSEGUANGO BAJO","1380","1489","2869"
"Cotopaxi",""," LATACUNGA","47143","51212","98355"
"Cotopaxi",""," MULALO","3870","4225","8095"
"Cotopaxi",""," POALO","2732","2977","5709"
"Cotopaxi",""," SAN JUAN DE PASTOCALLE","5494","5955","11449"
"Cotopaxi",""," TANICUCHI","6256","6575","12831"
"Cotopaxi",""," TOACASO","3738","3947","7685"
"Cotopaxi",""," Total","82301","88188","170489"
"Cotopaxi","PANGUA                        "," EL CORAZON","3267","3298","6565"
"Cotopaxi",""," MORASPUNGO","6553","5823","12376"
"Cotopaxi",""," PINLLOPATA","530","500","1030"
"Cotopaxi",""," RAMON CAMPAÑA","990","1004","1994"
"Cotopaxi",""," Total","11340","10625","21965"
"Cotopaxi","PUJILI                        "," ANGAMARCA","2480","2769","5249"
"Cotopaxi",""," GUANGAJE","3809","4217","8026"
"Cotopaxi",""," LA VICTORIA","1438","1578","3016"
"Cotopaxi",""," PILALO","1272","1368","2640"
"Cotopaxi",""," PUJILI","15732","17698","33430"
"Cotopaxi",""," TINGO","2081","1970","4051"
"Cotopaxi",""," ZUMBAHUA","5924","6719","12643"
"Cotopaxi",""," Total","32736","36319","69055"
"Cotopaxi","SALCEDO                       "," ANTONIO JOSE HOLGUIN","1256","1408","2664"
"Cotopaxi",""," CUSUBAMBA","3490","3710","7200"
"Cotopaxi",""," MULALILLO","2982","3397","6379"
"Cotopaxi",""," MULLIQUINDIL (SANTA ANA)","3516","3687","7203"
"Cotopaxi",""," PANSALEO","1586","1869","3455"
"Cotopaxi",""," SAN MIGUEL","15050","16265","31315"
"Cotopaxi",""," Total","27880","30336","58216"
"Cotopaxi","SAQUISILI                     "," CANCHAGUA","2614","2841","5455"
"Cotopaxi",""," CHANTILIN","453","582","1035"
"Cotopaxi",""," COCHAPAMBA","2557","2869","5426"
"Cotopaxi",""," SAQUISILI","6333","7071","13404"
"Cotopaxi",""," Total","11957","13363","25320"
"Cotopaxi","SIGCHOS                       "," CHUGCHILAN","3797","4014","7811"
"Cotopaxi",""," ISINLIVI","1625","1602","3227"
"Cotopaxi",""," LAS PAMPAS","1024","919","1943"
"Cotopaxi",""," PALO QUEMADO","567","463","1030"
"Cotopaxi",""," SIGCHOS","3978","3955","7933"
"Cotopaxi",""," Total","10991","10953","21944"
"Cotopaxi","Total","","198625","210580","409205"
"Chimborazo","ALAUSI                        "," ACHUPALLAS","5004","5525","10529"
"Chimborazo",""," ALAUSI","4935","5275","10210"
"Chimborazo",""," GUASUNTOS","1101","1312","2413"
"Chimborazo",""," HUIGRA","1147","1205","2352"
"Chimborazo",""," MULTITUD","1058","1026","2084"
"Chimborazo",""," PISTISHI (NARIZ DEL DIABLO)","165","180","345"
"Chimborazo",""," PUMALLACTA (PUMAL-LACTA)","412","493","905"
"Chimborazo",""," SEVILLA","370","433","803"
"Chimborazo",""," SIBAMBE","1898","1971","3869"
"Chimborazo",""," TIXAN","5098","5481","10579"
"Chimborazo",""," Total","21188","22901","44089"
"Chimborazo","CHAMBO                        "," CHAMBO","5660","6225","11885"
"Chimborazo",""," Total","5660","6225","11885"
"Chimborazo","CHUNCHI                       "," CAPZOL","426","473","899"
"Chimborazo",""," CHUNCHI","3556","3849","7405"
"Chimborazo",""," COMPUD","423","455","878"
"Chimborazo",""," GONZOL","824","905","1729"
"Chimborazo",""," LLAGOS","833","942","1775"
"Chimborazo",""," Total","6062","6624","12686"
"Chimborazo","COLTA                         "," CAÑI","486","476","962"
"Chimborazo",""," COLUMBE","7776","8086","15862"
"Chimborazo",""," JUAN DE VELASCO (PANGOR)","1926","1992","3918"
"Chimborazo",""," SANTIAGO DE QUITO","2577","3091","5668"
"Chimborazo",""," VILLA LA UNION","8877","9684","18561"
"Chimborazo",""," Total","21642","23329","44971"
"Chimborazo","CUMANDA                       "," CUMANDA","6343","6579","12922"
"Chimborazo",""," Total","6343","6579","12922"
"Chimborazo","GUAMOTE                       "," CEBADAS","4019","4199","8218"
"Chimborazo",""," GUAMOTE","12098","12540","24638"
"Chimborazo",""," PALMIRA","6062","6235","12297"
"Chimborazo",""," Total","22179","22974","45153"
"Chimborazo","GUANO                         "," GUANANDO","183","158","341"
"Chimborazo",""," GUANO","7823","8694","16517"
"Chimborazo",""," ILAPO","810","852","1662"
"Chimborazo",""," LA PROVIDENCIA","267","286","553"
"Chimborazo",""," SAN ANDRES","6477","7004","13481"
"Chimborazo",""," SAN GERARDO DE PACAICAGUAN","1106","1333","2439"
"Chimborazo",""," SAN ISIDRO DE PATULU","2301","2443","4744"
"Chimborazo",""," SAN JOSE DEL CHAZO","495","542","1037"
"Chimborazo",""," SANTA FE DE GALAN","822","851","1673"
"Chimborazo",""," VALPARAISO","211","193","404"
"Chimborazo",""," Total","20495","22356","42851"
"Chimborazo","PALLATANGA                    "," PALLATANGA","5718","5826","11544"
"Chimborazo",""," Total","5718","5826","11544"
"Chimborazo","PENIPE                        "," BILBAO","102","94","196"
"Chimborazo",""," EL ALTAR","631","634","1265"
"Chimborazo",""," LA CANDELARIA","239","236","475"
"Chimborazo",""," MATUS","471","520","991"
"Chimborazo",""," PENIPE","1000","1089","2089"
"Chimborazo",""," PUELA","314","308","622"
"Chimborazo",""," SAN ANTONIO DE BAYUSHIG","517","584","1101"
"Chimborazo",""," Total","3274","3465","6739"
"Chimborazo","RIOBAMBA                      "," CACHA","1410","1750","3160"
"Chimborazo",""," CALPI","3012","3457","6469"
"Chimborazo",""," CUBIJIES","1148","1366","2514"
"Chimborazo",""," FLORES","2074","2472","4546"
"Chimborazo",""," LICAN","3853","4110","7963"
"Chimborazo",""," LICTO","3498","4309","7807"
"Chimborazo",""," PUNGALA","2837","3117","5954"
"Chimborazo",""," PUNIN","2710","3266","5976"
"Chimborazo",""," QUIMIAG","2518","2739","5257"
"Chimborazo",""," RIOBAMBA","74634","82089","156723"
"Chimborazo",""," SAN JUAN","3442","3928","7370"
"Chimborazo",""," SAN LUIS","5704","6298","12002"
"Chimborazo",""," Total","106840","118901","225741"
"Chimborazo","Total","","219401","239180","458581"
"El Oro","ARENILLAS                     "," ARENILLAS","11057","10269","21326"
"El Oro",""," CARCABON","391","345","736"
"El Oro",""," CHACRAS","818","720","1538"
"El Oro",""," PALMALES","1682","1562","3244"
"El Oro",""," Total","13948","12896","26844"
"El Oro","ATAHUALPA                     "," AYAPAMBA","721","666","1387"
"El Oro",""," CERRO AZUL","172","123","295"
"El Oro",""," CORDONCILLO","511","492","1003"
"El Oro",""," MILAGRO","248","224","472"
"El Oro",""," PACCHA","1157","1154","2311"
"El Oro",""," SAN JOSE","201","164","365"
"El Oro",""," Total","3010","2823","5833"
"El Oro","BALSAS                        "," BALSAS","2926","2704","5630"
"El Oro",""," BELLAMARIA","632","599","1231"
"El Oro",""," Total","3558","3303","6861"
"El Oro","CHILLA                        "," CHILLA","1274","1210","2484"
"El Oro",""," Total","1274","1210","2484"
"El Oro","EL GUABO                      "," BARBONES (SUCRE)","3054","2653","5707"
"El Oro",""," EL GUABO","15580","14400","29980"
"El Oro",""," LA IBERIA","1883","1826","3709"
"El Oro",""," RIO BONITO","2953","2523","5476"
"El Oro",""," TENDALES","2916","2221","5137"
"El Oro",""," Total","26386","23623","50009"
"El Oro","HUAQUILLAS                    "," HUAQUILLAS","24120","24165","48285"
"El Oro",""," Total","24120","24165","48285"
"El Oro","LAS LAJAS                     "," EL PARAISO","399","362","761"
"El Oro",""," LA LIBERTAD","421","381","802"
"El Oro",""," LA VICTORIA","1360","1272","2632"
"El Oro",""," SAN ISIDRO","309","290","599"
"El Oro",""," Total","2489","2305","4794"
"El Oro","MACHALA                       "," EL RETIRO","2381","1985","4366"
"El Oro",""," MACHALA","120643","120963","241606"
"El Oro",""," Total","123024","122948","245972"
"El Oro","MARCABELI                     "," EL INGENIO","145","107","252"
"El Oro",""," MARCABELI","2636","2562","5198"
"El Oro",""," Total","2781","2669","5450"
"El Oro","PASAJE                        "," BUENAVISTA","3447","3094","6541"
"El Oro",""," CAÑA QUEMADA","972","867","1839"
"El Oro",""," CASACAY","1260","1197","2457"
"El Oro",""," LA PEAÑA","1825","1776","3601"
"El Oro",""," PASAJE","26743","26742","53485"
"El Oro",""," PROGRESO","2079","1888","3967"
"El Oro",""," UZHCURRUMI","466","450","916"
"El Oro",""," Total","36792","36014","72806"
"El Oro","PIÑAS                         "," CAPIRO","980","890","1870"
"El Oro",""," LA BOCANA","728","637","1365"
"El Oro",""," MOROMORO","742","629","1371"
"El Oro",""," PIEDRAS","294","275","569"
"El Oro",""," PIÑAS","8572","8829","17401"
"El Oro",""," SAN ROQUE","463","404","867"
"El Oro",""," SARACAY","1366","1179","2545"
"El Oro",""," Total","13145","12843","25988"
"El Oro","PORTOVELO                     "," CURTINCAPA","277","233","510"
"El Oro",""," MORALES","337","330","667"
"El Oro",""," PORTOVELO","5176","4820","9996"
"El Oro",""," SALATI","535","492","1027"
"El Oro",""," Total","6325","5875","12200"
"El Oro","SANTA ROSA                    "," BELLAMARIA","1281","1041","2322"
"El Oro",""," BELLAVISTA","1421","1414","2835"
"El Oro",""," JAMBELI","1084","634","1718"
"El Oro",""," LA AVANZADA","1126","942","2068"
"El Oro",""," SAN ANTONIO","1089","1001","2090"
"El Oro",""," SANTA ROSA","26455","26408","52863"
"El Oro",""," TORATA","1038","915","1953"
"El Oro",""," VICTORIA","1733","1454","3187"
"El Oro",""," Total","35227","33809","69036"
"El Oro","ZARUMA                        "," ABAÑIN","842","842","1684"
"El Oro",""," ARCAPAMBA","534","461","995"
"El Oro",""," GUANAZAN","1478","1567","3045"
"El Oro",""," GUIZHAGUIÑA","890","814","1704"
"El Oro",""," HUERTAS","1058","938","1996"
"El Oro",""," MALVAS","640","545","1185"
"El Oro",""," MULUNCAY GRANDE","509","336","845"
"El Oro",""," SALVIAS","394","354","748"
"El Oro",""," SINSAO","685","651","1336"
"El Oro",""," ZARUMA","5253","5306","10559"
"El Oro",""," Total","12283","11814","24097"
"El Oro","Total","","304362","296297","600659"
"Esmeraldas","ATACAMES                      "," ATACAMES","8525","8330","16855"
"Esmeraldas",""," LA UNION","1304","1236","2540"
"Esmeraldas",""," SUA","1781","1668","3449"
"Esmeraldas",""," TONCHIGUE","4151","3850","8001"
"Esmeraldas",""," TONSUPA","5470","5211","10681"
"Esmeraldas",""," Total","21231","20295","41526"
"Esmeraldas","ELOY ALFARO                   "," ANCHAYACU","1432","1105","2537"
"Esmeraldas",""," ATAHUALPA","733","721","1454"
"Esmeraldas",""," BORBON","3931","3765","7696"
"Esmeraldas",""," COLON ELOY DEL MARIA","736","674","1410"
"Esmeraldas",""," LA TOLA","2268","2098","4366"
"Esmeraldas",""," LUIS VARGAS TORRES","199","153","352"
"Esmeraldas",""," MALDONADO","948","913","1861"
"Esmeraldas",""," PAMPANAL DE BOLIVAR","597","521","1118"
"Esmeraldas",""," SAN FRANCISCO DE ONZOLE","768","662","1430"
"Esmeraldas",""," SAN JOSE DE CAYAPAS","785","728","1513"
"Esmeraldas",""," SANTO DOMINGO DE ONZOLE","1055","879","1934"
"Esmeraldas",""," SELVA ALEGRE","597","569","1166"
"Esmeraldas",""," TELEMBI","2944","2695","5639"
"Esmeraldas",""," TIMBIRE","552","485","1037"
"Esmeraldas",""," VALDEZ (LIMONES)","3503","2723","6226"
"Esmeraldas",""," Total","21048","18691","39739"
"Esmeraldas","ESMERALDAS                    "," CAMARONES","1474","1343","2817"
"Esmeraldas",""," CHINCA","2369","2183","4552"
"Esmeraldas",""," CRNEL. CARLOS CONCHA TORRES","1308","1046","2354"
"Esmeraldas",""," ESMERALDAS","77505","84363","161868"
"Esmeraldas",""," MAJUA","1373","1161","2534"
"Esmeraldas",""," SAN MATEO","3153","2586","5739"
"Esmeraldas",""," TABIAZO","1384","1276","2660"
"Esmeraldas",""," TACHINA","2014","1969","3983"
"Esmeraldas",""," VUELTA LARGA","1496","1501","2997"
"Esmeraldas",""," Total","92076","97428","189504"
"Esmeraldas","LA CONCORDIA                  "," LA CONCORDIA","21748","21176","42924"
"Esmeraldas",""," Total","21748","21176","42924"
"Esmeraldas","MUISNE                        "," BOLIVAR","576","463","1039"
"Esmeraldas",""," DAULE","1209","944","2153"
"Esmeraldas",""," GALERA","970","763","1733"
"Esmeraldas",""," MUISNE","4563","4317","8880"
"Esmeraldas",""," QUINGUE (OLMEDO PERDOMO","307","267","574"
"Esmeraldas",""," SALIMA","599","518","1117"
