"Provincia","Nombre del Cantón","Nombre de la Parroquia","Hombre","Mujer","Total"
"",""," MARIANO ACOSTA","756","788","1544"
"",""," PIMAMPIRO","4459","4618","9077"
"",""," SAN FRANCISCO DE SIGSIPA","656","613","1269"
"",""," Total","6448","6522","12970"
"","SAN MIGUEL DE URCUQUI         "," CAHUASQUI","936","877","1813"
"",""," LA MERCED DE BUENOS AIRES","989","904","1893"
"",""," PABLO ARENAS","1068","1050","2118"
"",""," SAN BLAS","1468","1547","3015"
"",""," TUMBABIRO","816","811","1627"
"",""," URCUQUI","2548","2657","5205"
"",""," Total","7825","7846","15671"
"","Total"," Total","193664","204580","398244"
"Loja","CALVAS                        "," CARIAMANGA","10402","10899","21301"
"",""," COLAISACA","941","913","1854"
"",""," EL LUCERO","1037","988","2025"
"",""," SANGILLIN","866","802","1668"
"",""," UTUANA","704","633","1337"
"",""," Total","13950","14235","28185"
"","CATAMAYO                      "," CATAMAYO (LA TOMA)","11577","11878","23455"
"",""," EL TAMBO","2375","2255","4630"
"",""," GUAYQUICHUMA","198","185","383"
"",""," SAN PEDRO DE LA BENDITA","780","810","1590"
"",""," ZAMBI","296","284","580"
"",""," Total","15226","15412","30638"
"","CELICA                        "," CELICA","3773","3550","7323"
"",""," CRUZPAMBA","576","518","1094"
"",""," POZUL (SAN JUAN DE POZUL","1520","1515","3035"
"",""," SABANILLA","1318","1125","2443"
"",""," TNTE. MAXIMILIANO RODRIG","319","254","573"
"",""," Total","7506","6962","14468"
"","CHAGUARPAMBA                  "," AMARILLOS","346","317","663"
"",""," BUENAVISTA","627","587","1214"
"",""," CHAGUARPAMBA","1877","1702","3579"
"",""," EL ROSARIO","255","240","495"
"",""," SANTA RUFINA","629","581","1210"
"",""," Total","3734","3427","7161"
"","ESPINDOLA                     "," 27 DE ABRIL","1084","1002","2086"
"",""," AMALUZA","1745","1693","3438"
"",""," BELLAVISTA","1219","1116","2335"
"",""," EL AIRO","536","461","997"
"",""," EL INGENIO","964","907","1871"
"",""," JIMBURA","1169","1147","2316"
"",""," SANTA TERESITA","881","875","1756"
"",""," Total","7598","7201","14799"
"","GONZANAMA                     "," CHANGAIMINA (LA LIBERTAD","1390","1361","2751"
"",""," GONZANAMA","1205","1316","2521"
"",""," NAMBACOLA","2291","2229","4520"
"",""," PURUNUMA (EGUIGUREN)","404","352","756"
"",""," SACAPALCA","1100","1068","2168"
"",""," Total","6390","6326","12716"
"","LOJA                          "," CHANTACO","560","617","1177"
"",""," CHUQUIRIBAMBA","1140","1326","2466"
"",""," EL CISNE","783","845","1628"
"",""," GUALEL","950","1110","2060"
"",""," JIMBILLA","563","551","1114"
"",""," LOJA","86631","93986","180617"
"",""," MALACATOS (VALLADOLID)","3577","3537","7114"
"",""," QUINARA","720","664","1384"
"",""," SAN LUCAS","2210","2463","4673"
"",""," SAN PEDRO DE VILCABAMBA","650","639","1289"
"",""," SANTIAGO","666","707","1373"
"",""," TAQUIL (MIGUEL RIOFRIO)","1819","1844","3663"
"",""," VILCABAMBA (VICTORIA)","2365","2413","4778"
"",""," YANGANA (ARSENIO CASTILLO)","836","683","1519"
"",""," Total","103470","111385","214855"
"","MACARA                        "," LA VICTORIA","799","758","1557"
"",""," LARAMA","564","516","1080"
"",""," MACARA","7959","7771","15730"
"",""," SABIANGO (LA CAPILLA)","327","324","651"
"",""," Total","9649","9369","19018"
"","OLMEDO                        "," LA TINGUE","360","308","668"
"",""," OLMEDO","2062","2140","4202"
"",""," Total","2422","2448","4870"
"","PALTAS                        "," CANGONAMA","636","635","1271"
"",""," CASANGA","931","874","1805"
"",""," CATACOCHA","5943","6259","12202"
"",""," GUACHANAMA","1383","1219","2602"
"",""," LAURO GUERRERO","915","910","1825"
"",""," ORIANGA","890","873","1763"
"",""," SAN ANTONIO","563","528","1091"
"",""," YAMANA","620","622","1242"
"",""," Total","11881","11920","23801"
"","PINDAL                        "," 12 DE DICIEMBRE","989","902","1891"
"",""," CHAQUINAL","583","506","1089"
"",""," PINDAL","2930","2735","5665"
"",""," Total","4502","4143","8645"
"","PUYANGO                       "," ALAMOR","4119","4177","8296"
"",""," CIANO","721","705","1426"
"",""," EL ARENAL","511","470","981"
"",""," EL LIMO (MARIANA DE JESUS)","1290","1080","2370"
"",""," MERCADILLO","599","575","1174"
"",""," VICENTINO","646","620","1266"
"",""," Total","7886","7627","15513"
"","QUILANGA                      "," FUNDOCHAMBA","190","163","353"
"",""," QUILANGA","1386","1335","2721"
"",""," SAN ANTONIO DE LAS ARADAS","645","618","1263"
"",""," Total","2221","2116","4337"
"","SARAGURO                      "," EL PARAISO DE CELEN","1256","1501","2757"
"",""," EL TABLON","437","480","917"
"",""," LLUZHAPA","834","871","1705"
"",""," MANU","1255","1413","2668"
"",""," SAN ANTONIO DE QUMBE","530","616","1146"
"",""," SAN PABLO DE TENTA","1747","1929","3676"
"",""," SAN SEBASTIAN DE YULUC","479","503","982"
"",""," SARAGURO","4228","4817","9045"
"",""," SELVA ALEGRE","903","1024","1927"
"",""," SUMAYPAMBA","769","825","1594"
"",""," URDANETA (PAQUISHAPA)","1685","2081","3766"
"",""," Total","14123","16060","30183"
"","SOZORANGA                     "," NUEVA FATIMA","466","437","903"
"",""," SOZORANGA","1974","1787","3761"
"",""," TACAMOROS","1355","1446","2801"
"",""," Total","3795","3670","7465"
"","ZAPOTILLO                     "," BOLASPAMBA","594","492","1086"
"",""," CAZADEROS","638","534","1172"
"",""," GARZAREAL","962","820","1782"
"",""," LIMONES","747","663","1410"
"",""," PALETILLAS","1379","1252","2631"
"",""," ZAPOTILLO","2121","2110","4231"
"",""," Total","6441","5871","12312"
"","Total","","220794","228172","448966"
"Los Rios","BABA                          "," BABA","9845","8998","18843"
"",""," GUARE","6067","5380","11447"
"",""," ISLA DE BEJUCAL","4853","4538","9391"
"",""," Total","20765","18916","39681"
"","BABAHOYO                      "," BABAHOYO","48220","48736","96956"
"",""," CARACOL","2688","2424","5112"
"",""," FEBRES CORDERO (LAS JUNTAS)","9442","8543","17985"
"",""," LA UNION","6635","6062","12697"
"",""," PIMOCHA","10982","10044","21026"
"",""," Total","77967","75809","153776"
"","BUENA FE                      "," PATRICIA PILAR","6441","5837","12278"
"",""," SAN JACINTO DE BUENA FE","26208","24662","50870"
"",""," Total","32649","30499","63148"
"","MOCACHE                       "," MOCACHE","19996","18396","38392"
"",""," Total","19996","18396","38392"
"","MONTALVO                      "," MONTALVO","12298","11866","24164"
"",""," Total","12298","11866","24164"
"","PALENQUE                      "," PALENQUE","11841","10479","22320"
"",""," Total","11841","10479","22320"
"","PUEBLOVIEJO                   "," PUEBLOVIEJO","6828","6548","13376"
"",""," PUERTO PECHICHE","2412","2262","4674"
"",""," SAN JUAN","9374","9053","18427"
"",""," Total","18614","17863","36477"
"","QUEVEDO                       "," LA ESPERANZA","2509","2344","4853"
"",""," QUEVEDO","79218","79476","158694"
"",""," SAN CARLOS","5094","4934","10028"
"",""," Total","86821","86754","173575"
"","QUINSALOMA                    "," QUINSALOMA","8627","7849","16476"
"",""," Total","8627","7849","16476"
"","URDANETA                      "," CATARAMA","4305","4286","8591"
"",""," RICAURTE","10758","9914","20672"
"",""," Total","15063","14200","29263"
"","VALENCIA                      "," VALENCIA","22592","19964","42556"
"",""," Total","22592","19964","42556"
"","VENTANAS                      "," VENTANAS","22916","22735","45651"
"",""," ZAPOTAL","10869","10031","20900"
"",""," Total","33785","32766","66551"
"","VINCES                        "," ANTONIO SOTOMAYOR","8673","7620","16293"
"",""," VINCES","28408","27035","55443"
"",""," Total","37081","34655","71736"
"","Total","","398099","380016","778115"
"Manabi","24 DE MAYO                    "," ARQ. SIXTO DURAN BALLEN","2091","1861","3952"
"",""," BELLAVISTA","2512","2408","4920"
"",""," NOBOA","3440","3108","6548"
"",""," SUCRE","6858","6568","13426"
"",""," Total","14901","13945","28846"
"","BOLIVAR                       "," CALCETA","16660","16755","33415"
"",""," MEMBRILLO","1849","1704","3553"
"",""," QUIROGA","2305","1462","3767"
"",""," Total","20814","19921","40735"
"","CHONE                         "," BOYACA","2377","2124","4501"
"",""," CANUTO","5212","5143","10355"
"",""," CHIBUNGA","3455","2905","6360"
"",""," CHONE","36669","38237","74906"
"",""," CONVENTO","3424","3154","6578"
"",""," ELOY ALFARO","4036","3796","7832"
"",""," RICAURTE","4047","3873","7920"
"",""," SAN ANTONIO","4063","3976","8039"
"",""," Total","63283","63208","126491"
"","EL CARMEN                     "," EL CARMEN","39567","38176","77743"
"",""," SAN PEDRO DE SUMA","3521","3171","6692"
"",""," WILFRIDO LOOR MOREIRA","2429","2157","4586"
"",""," Total","45517","43504","89021"
"","FLAVIO ALFARO                 "," FLAVIO ALFARO","9500","9036","18536"
"",""," SAN FRANCISCO DE NOVILLO","1502","1277","2779"
"",""," ZAPALLO","1907","1782","3689"
"",""," Total","12909","12095","25004"
"","JAMA                          "," JAMA","11850","11403","23253"
"",""," Total","11850","11403","23253"
"","JARAMIJO                      "," JARAMIJO","9511","8975","18486"
"",""," Total","9511","8975","18486"
"","JIPIJAPA                      "," AMERICA","1638","1422","3060"
"",""," EL ANEGADO","3656","3208","6864"
"",""," JIPIJAPA","24301","24775","49076"
"",""," JULCUY","1150","1025","2175"
"",""," LA UNION","1062","879","1941"
"",""," MEMBRILLAL","560","445","1005"
"",""," PEDRO PABLO GOMEZ","1897","1667","3564"
"",""," PUERTO DE CAYO","1807","1591","3398"
"",""," Total","36071","35012","71083"
"","JUNIN                         "," JUNIN","9750","9192","18942"
"",""," Total","9750","9192","18942"
"","MANTA                         "," MANTA","108677","112445","221122"
"",""," SAN LORENZO","1374","1273","2647"
"",""," SANTA MARIANITA","1352","1356","2708"
"",""," Total","111403","115074","226477"
"","MONTECRISTI                   "," LA PILA","1286","1166","2452"
"",""," MONTECRISTI","34018","33824","67842"
"",""," Total","35304","34990","70294"
"","OLMEDO                        "," OLMEDO","5083","4761","9844"
"",""," Total","5083","4761","9844"
"","PAJAN                         "," CAMPOZANO","4530","3977","8507"
"",""," CASCOL","3917","3275","7192"
"",""," GUALE","2043","1888","3931"
"",""," LASCANO","2732","2445","5177"
"",""," PAJAN","6307","5959","12266"
"",""," Total","19529","17544","37073"
"","PEDERNALES                    "," 10 DE AGOSTO","2680","2532","5212"
"",""," ATAHUALPA","1310","1258","2568"
"",""," COJIMIES","7241","6467","13708"
"",""," PEDERNALES","17189","16451","33640"
"",""," Total","28420","26708","55128"
"","PICHINCHA                     "," BARRAGANETE","4010","3557","7567"
"",""," PICHINCHA","9000","8416","17416"
"",""," SAN SEBASTIAN","2663","2598","5261"
"",""," Total","15673","14571","30244"
"","PORTOVIEJO                    "," ABDON CALDERON","7204","6960","14164"
"",""," ALHAJUELA (BAJO GRANDE)","1844","1910","3754"
"",""," CHIRIJOS","1204","1158","2362"
"",""," CRUCITA","7184","6866","14050"
"",""," PORTOVIEJO","108878","114208","223086"
"",""," PUEBLO NUEVO","1645","1524","3169"
"",""," RIOCHICO (RIO CHICO)","6155","5602","11757"
"",""," SAN PLACIDO","3855","3832","7687"
"",""," Total","137969","142060","280029"
"","PUERTO LOPEZ                  "," MACHALILLA","2568","2421","4989"
"",""," PUERTO LOPEZ","5647","5281","10928"
"",""," SALANGO","2349","2185","4534"
"",""," Total","10564","9887","20451"
"","ROCAFUERTE                    "," ROCAFUERTE","16922","16547","33469"
"",""," Total","16922","16547","33469"
"","SAN VICENTE                   "," CANOA","3663","3224","6887"
"",""," SAN VICENTE","7601","7537","15138"
"",""," Total","11264","10761","22025"
"","SANTA ANA                     "," AYACUCHO","3729","3694","7423"
"",""," HONORATO VASQUEZ","2994","2892","5886"
"",""," LA UNION","3354","3112","6466"
"",""," SAN PABLO","2802","2510","5312"
"",""," SANTA ANA DE VUELTA LARGA","11214","11084","22298"
"",""," Total","24093","23292","47385"
"","SUCRE                         "," BAHIA DE CARAQUEZ","13075","13037","26112"
"",""," CHARAPOTO","10216","9844","20060"
"",""," SAN ISIDRO","5651","5336","10987"
"",""," Total","28942","28217","57159"
"","TOSAGUA                       "," ANGEL PEDRO GILER","3212","3070","6282"
"",""," BACHILLERO","1979","1906","3885"
"",""," TOSAGUA","14336","13838","28174"
"",""," Total","19527","18814","38341"
"","Total"," Total","689299","680481","1369780"
"Morona Santiago","GUALAQUIZA                    "," AMAZONAS (ROSARIO DE CUYES)","201","211","412"
"",""," BERMEJOS","119","104","223"
"",""," BOMBOIZA","2341","2282","4623"
"",""," CHIGUINDA","266","286","552"
"",""," EL IDEAL","425","396","821"
"",""," EL ROSARIO","303","305","608"
"",""," GUALAQUIZA","4694","4534","9228"
"",""," NUEVA TARQUI","252","259","511"
"",""," SAN MIGUEL DE CUYES","96","88","184"
"",""," Total","8697","8465","17162"
"","HUAMBOYA                      "," CHIGUAZA","3000","2928","5928"
"",""," HUAMBOYA","1316","1222","2538"
"",""," Total","4316","4150","8466"
"","LIMON INDANZA                 "," GENERAL LEONIDAS PLAZA G.","1920","2061","3981"
"",""," INDANZA","704","659","1363"
"",""," SAN ANTONIO","1073","1084","2157"
"",""," SAN MIGUEL DE CONCHAY","207","198","405"
"",""," SANTA SUSANA DE CHIVIAZA","386","386","772"
"",""," YUNGANZA","522","522","1044"
"",""," Total","4812","4910","9722"
"","LOGROÑO                       "," LOGROÑO","1054","999","2053"
"",""," SHIMPIS","960","933","1893"
"",""," YAUPI","859","918","1777"
"",""," Total","2873","2850","5723"
"","MORONA                        "," ALSHI","238","187","425"
"",""," CUCHAENTZA","909","876","1785"
"",""," GENERAL PROAÑO","1276","1314","2590"
"",""," MACAS","9637","9539","19176"
"",""," RIO BLANCO","982","1010","1992"
"",""," SAN ISIDRO","387","398","785"
"",""," SEVILLA DON BOSCO","6686","6727","13413"
"",""," SINAI","383","383","766"
"",""," ZUÑA (ZUÑAC)","113","110","223"
"",""," Total","20611","20544","41155"
"","PABLO VI                      "," PABLO VI","941","882","1823"
"",""," Total","941","882","1823"
"","PALORA                        "," 16 DE AGOSTO","517","473","990"
"",""," ARAPICOS","258","224","482"
"",""," CUMANDA","187","158","345"
"",""," PALORA (METZERA)","1975","1972","3947"
"",""," SANGAY","609","563","1172"
"",""," Total","3546","3390","6936"
"","SAN JUAN BOSCO                "," PAN DE AZUCAR","142","123","265"
"",""," SAN CARLOS DE LIMON","412","381","793"
"",""," SAN JACINTO DE WAKAMBEIS","105","99","204"
"",""," SAN JUAN BOSCO","1071","1106","2177"
"",""," SANTIAGO DE PANANZA","245","224","469"
"",""," Total","1975","1933","3908"
"","SANTIAGO                      "," CHUPIANZA","248","219","467"
"",""," COPAL","274","206","480"
"",""," PATUCA","1198","935","2133"
"",""," SAN FRANCISCO DE CHINIMB","521","558","1079"
"",""," SAN LUIS DE EL ACHO","313","305","618"
"",""," SANTIAGO","804","706","1510"
"",""," SANTIAGO DE MENDEZ","1501","1507","3008"
"",""," Total","4859","4436","9295"
"","SUCUA                         "," ASUNCION","925","978","1903"
"",""," HUAMBI","1429","1462","2891"
"",""," SANTA MARIANITA DE JESUS","444","461","905"
"",""," SUCUA","6174","6445","12619"
"",""," Total","8972","9346","18318"
"","TAISHA                        "," HUASAGA","730","779","1509"
"",""," MACUMA","1943","1942","3885"
"",""," PUMPUENTSA","1231","1222","2453"
"",""," TAISHA","3126","2823","5949"
"",""," TUTINENTZA","2338","2303","4641"
"",""," Total","9368","9069","18437"
"","TIWINTZA                      "," SAN JOSE DE MORONA","1210","1064","2274"
"",""," TIWINTZA","2669","2052","4721"
"",""," Total","3879","3116","6995"
"","Total","","74849","73091","147940"
"Napo","ARCHIDONA                     "," ARCHIDONA","5821","5868","11689"
"",""," COTUNDO","4252","4124","8376"
"",""," SAN PABLO DE USHPAYACU","2560","2344","4904"
"",""," Total","12633","12336","24969"
"","CARLOS JULIO AROSEMENA        "," CARLOS JULIO AROSEMENA TOLA","1934","1730","3664"
"",""," Total","1934","1730","3664"
"","EL CHACO                      "," EL CHACO","2430","2386","4816"
"",""," GONZALO DIAZ DE PINEDA","299","236","535"
"",""," LINARES","113","96","209"
"",""," OYACACHI","315","305","620"
"",""," SANTA ROSA","685","558","1243"
"",""," SARDINAS","286","251","537"
"",""," Total","4128","3832","7960"
"","QUIJOS                        "," BAEZA","970","976","1946"
"",""," COSANGA","288","217","505"
"",""," CUYUJA","315","299","614"
"",""," PAPALLACTA","492","428","920"
"",""," SAN FRANCISCO DE BORJA","1052","1148","2200"
"",""," SUMACO","19","20","39"
"",""," Total","3136","3088","6224"
"","TENA                          "," AHUANO","2873","2706","5579"
"",""," CHONTAPUNTA","3559","3128","6687"
"",""," PANO","694","698","1392"
"",""," PUERTO MISAHUALLI","2668","2459","5127"
"",""," PUERTO NAPO","2796","2597","5393"
"",""," TALAG","1431","1337","2768"
"",""," TENA","16922","17012","33934"
"",""," Total","30943","29937","60880"
"","Total","","52774","50923","103697"
"Pastaza","ARAJUNO                       "," ARAJUNO","1979","1827","3806"
"",""," CURARAY","1423","1262","2685"
"",""," Total","3402","3089","6491"
"","MERA                          "," MADRE TIERRA","794","794","1588"
"",""," MERA","754","767","1521"
"",""," SHELL","4531","4221","8752"
"",""," Total","6079","5782","11861"
"","PASTAZA                       "," CANELOS","1096","1077","2173"
"",""," DIEZ DE AGOSTO","606","538","1144"
"",""," EL TRIUNFO","685","640","1325"
"",""," FATIMA","447","416","863"
"",""," MONTALVO (ANDOAS)","2019","1830","3849"
"",""," POMONA","131","106","237"
"",""," PUYO","17979","18680","36659"
"",""," RIO CORRIENTES","111","124","235"
"",""," RIO TIGRE","339","317","656"
"",""," SARAYACU","1271","1285","2556"
"",""," SIMON BOLIVAR","2817","2865","5682"
"",""," TARQUI","1963","1868","3831"
"",""," TENIENTE HUGO ORTIZ","553","495","1048"
"",""," VERACRUZ (INDILLAMA)","906","852","1758"
"",""," Total","30923","31093","62016"
"","SANTA CLARA                   "," SAN JOSE","386","349","735"
"",""," SANTA CLARA","1470","1360","2830"
"",""," Total","1856","1709","3565"
"","Total","","42260","41673","83933"
"Pichincha","CAYAMBE                       "," ASCAZUBI","2499","2551","5050"
"",""," CANGAHUA","7920","8311","16231"
"",""," CAYAMBE","24989","25840","50829"
"",""," OLMEDO (PESILLO)","3162","3610","6772"
"",""," OTON","1357","1409","2766"
"",""," SANTA ROSA DE CUZUBAMBA","2040","2107","4147"
"",""," Total","41967","43828","85795"
"","MEJIA                         "," ALOAG","4509","4728","9237"
"",""," ALOASI","4635","5051","9686"
"",""," CUTUGLAHUA","8220","8526","16746"
"",""," EL CHAUPI","710","746","1456"
"",""," MACHACHI","13438","14185","27623"
"",""," MANUEL CORNEJO ASTORGA","1944","1717","3661"
"",""," TAMBILLO","4068","4251","8319"
"",""," UYUMBICHO","2259","2348","4607"
"",""," Total","39783","41552","81335"
"","PEDRO MONCAYO                 "," LA ESPERANZA","1943","2043","3986"
"",""," MALCHINGUI","2280","2344","4624"
"",""," TABACUNDO","8163","8240","16403"
"",""," TOCACHI","997","988","1985"
"",""," TUPIGACHI","2928","3246","6174"
"",""," Total","16311","16861","33172"
"","PEDRO VICENTE MALDONADO       "," PEDRO VICENTE MALDONADO","6735","6189","12924"
"",""," Total","6735","6189","12924"
"","PUERTO QUITO                  "," PUERTO QUITO","10774","9671","20445"
"",""," Total","10774","9671","20445"
"","QUITO                         "," ALANGASI","11851","12400","24251"
"",""," AMAGUAÑA","15395","15711","31106"
"",""," ATAHUALPA (HABASPAMBA)","947","954","1901"
"",""," CALACALI","1947","1948","3895"
"",""," CALDERON (CARAPUNGO)","74682","77560","152242"
"",""," CHAVEZPAMBA","403","398","801"
"",""," CHECA (CHILPA)","4532","4448","8980"
"",""," CONOCOTO","39691","42381","82072"
"",""," CUMBAYA","15248","16215","31463"
"",""," EL QUINCHE","8015","8041","16056"
"",""," GUALEA","1073","952","2025"
"",""," GUANGOPOLO","1528","1531","3059"
"",""," GUAYLLABAMBA","8199","8014","16213"
"",""," LA MERCED","4122","4272","8394"
"",""," LLANO CHICO","5205","5468","10673"
"",""," LLOA","784","710","1494"
"",""," NANEGAL","1417","1219","2636"
"",""," NANEGALITO","1555","1471","3026"
"",""," NAYON","7628","8007","15635"
"",""," NONO","910","822","1732"
"",""," PACTO","2543","2255","4798"
"",""," PERUCHO","407","382","789"
"",""," PIFO","8235","8410","16645"
"",""," PINTAG","8815","9115","17930"
"",""," POMASQUI","14101","14809","28910"
"",""," PUELLARO","2772","2716","5488"
"",""," PUEMBO","6809","6784","13593"
"",""," QUITO","783616","835530","1619146"
"",""," SAN ANTONIO","15912","16445","32357"
"",""," SAN JOSE DE MINAS","3775","3468","7243"
"",""," TABABELA","1400","1423","2823"
"",""," TUMBACO","24448","25496","49944"
"",""," YARUQUI","8877","8977","17854"
"",""," ZAMBIZA","1969","2048","4017"
"",""," Total","1088811","1150380","2239191"
"","RUMIÑAHUI                     "," COTOGCHOA","1949","1988","3937"
"",""," RUMIPAMBA","399","376","775"
"",""," SANGOLQUI","39569","41571","81140"
"",""," Total","41917","43935","85852"
"","SAN MIGUEL DE LOS BANCOS      "," MINDO","1991","1851","3842"
"",""," SAN MIGUEL DE LOS BANCOS","7422","6309","13731"
"",""," Total","9413","8160","17573"
"","Total","","1255711","1320576","2576287"
"Tungurahua","AMBATO                        "," AMBATILLO","2598","2645","5243"
"",""," AMBATO","86299","92239","178538"
"",""," ATAHUALPA (CHISALATA)","4998","5263","10261"
"",""," AUGUSTO N. MARTINEZ","3962","4229","8191"
"",""," CONSTANTINO FERNANDEZ","1255","1279","2534"
"",""," CUNCHIBAMBA","2107","2368","4475"
"",""," HUACHI GRANDE","5187","5427","10614"
"",""," IZAMBA","7111","7452","14563"
"",""," JUAN BENIGNO VELA","3587","3869","7456"
"",""," MONTALVO","1961","1951","3912"
"",""," PASA","3220","3279","6499"
"",""," PICAIGUA","4022","4261","8283"
"",""," PILAGUIN (PILAHUIN)","5868","6260","12128"
"",""," QUISAPINCHA (QUIZAPINCHA)","6235","6766","13001"
"",""," SAN BARTOLOME DE PINLLOG","4437","4657","9094"
"",""," SAN FERNANDO","1176","1315","2491"
"",""," SANTA ROSA","10163","10840","21003"
"",""," TOTORAS","3394","3504","6898"
"",""," UNAMUNCHO","2250","2422","4672"
"",""," Total","159830","170026","329856"
"","BAÑOS                         "," BAÑOS","7318","7335","14653"
"",""," LLIGUA","138","142","280"
"",""," RIO NEGRO","638","608","1246"
"",""," RIO VERDE","669","638","1307"
"",""," ULBA","1271","1261","2532"
"",""," Total","10034","9984","20018"
"","CEVALLOS                      "," CEVALLOS","4028","4135","8163"
"",""," Total","4028","4135","8163"
"","MOCHA                         "," MOCHA","2698","2806","5504"
"",""," PINGUILI","658","615","1273"
"",""," Total","3356","3421","6777"
"","PATATE                        "," EL TRIUNFO","810","773","1583"
"",""," LOS ANDES","697","694","1391"
"",""," PATATE","4068","4086","8154"
"",""," SUCRE","1145","1224","2369"
"",""," Total","6720","6777","13497"
"","QUERO                         "," QUERO","7027","7227","14254"
"",""," RUMIPAMBA","1460","1513","2973"
"",""," YANAYACU - MOCHAPATA","1002","976","1978"
"",""," Total","9489","9716","19205"
"","SAN PEDRO DE PELILEO          "," BENITEZ (PACHANLICA)","1082","1101","2183"
"",""," BOLIVAR","1316","1397","2713"
"",""," CHIQUICHA","1163","1282","2445"
"",""," COTALO","944","908","1852"
"",""," EL ROSARIO (RUMICHACA)","1269","1369","2638"
"",""," GARCIA MORENO (CHUMAQUI)","3056","3324","6380"
"",""," GUAMBALO (HUAMBALO)","3883","3979","7862"
"",""," PELILEO","11830","12784","24614"
"",""," SALASACA","2784","3102","5886"
"",""," Total","27327","29246","56573"
"","SANTIAGO DE PILLARO           "," BAQUERIZO MORENO","132","145","277"
"",""," EMILIO MARIA TERAN","733","771","1504"
"",""," MARCOS ESPINEL (CHACATA)","1100","1234","2334"
"",""," PILLARO","6313","7070","13383"
"",""," PRESIDENTE URBINA","1290","1510","2800"
"",""," SAN ANDRES","5248","5952","11200"
"",""," SAN JOSE DE POALO","915","965","1880"
"",""," SAN MIGUELITO","2360","2619","4979"
"",""," Total","18091","20266","38357"
"","TISALEO                       "," QUINCHICOTO","633","673","1306"
"",""," TISALEO","5275","5556","10831"
"",""," Total","5908","6229","12137"
"","Total"," Total","244783","259800","504583"
"Zamora Chinchipe","CENTINELA DEL CONDOR          "," ZUMBI","3381","3098","6479"
"",""," Total","3381","3098","6479"
"","CHINCHIPE                     "," CHITO","663","567","1230"
"",""," EL CHORRO","126","90","216"
"",""," LA CHONTA","141","120","261"
"",""," PUCAPAMBA","81","37","118"
"",""," SAN ANDRES","241","175","416"
"",""," ZUMBA","3681","3197","6878"
"",""," Total","4933","4186","9119"
"","EL PANGUI                     "," EL GUISMI","798","806","1604"
"",""," EL PANGUI","2492","2496","4988"
"",""," PACHICUTZA","654","636","1290"
"",""," TUNDAYME","394","343","737"
"",""," Total","4338","4281","8619"
"","NANGARITZA                    "," GUAYZIMI","1337","1261","2598"
"",""," NUEVO PARAISO","312","282","594"
"",""," ZURMI","1039","965","2004"
"",""," Total","2688","2508","5196"
"","PALANDA                       "," EL PORVENIR DEL CARMEN","793","691","1484"
"",""," LA CANELA","192","163","355"
"",""," PALANDA","1903","1798","3701"
"",""," SAN FRANCISCO DE VERGEL","690","628","1318"
"",""," VALLADOLID","668","563","1231"
"",""," Total","4246","3843","8089"
"","PAQUISHA                      "," BELLAVISTA","149","152","301"
"",""," NUEVO QUITO","1258","843","2101"
"",""," PAQUISHA","750","702","1452"
"",""," Total","2157","1697","3854"
"","YACUAMBI                      "," 28 DE MAYO","1587","1566","3153"
"",""," LA PAZ","1029","1014","2043"
"",""," TUTUPALI","322","317","639"
"",""," Total","2938","2897","5835"
"","YANTZAZA                      "," CHICAÑA","1330","1331","2661"
"",""," LOS ENCUENTROS","1940","1718","3658"
"",""," YANZATZA","6186","6170","12356"
"",""," Total","9456","9219","18675"
"","ZAMORA                        "," CUMBARATZA","2259","2157","4416"
"",""," GUADALUPE","1412","1445","2857"
"",""," IMBANA","567","559","1126"
"",""," SABANILLA","301","283","584"
"",""," SAN CARLOS DE LAS MINAS","1280","900","2180"
"",""," TIMBARA","494","466","960"
"",""," ZAMORA","7002","6385","13387"
"",""," Total","13315","12195","25510"
"","Total","","47452","43924","91376"
"Galápagos","ISABELA                       "," PUERTO VILLAMIL","1105","987","2092"
"",""," TOMAS DE BERLANGA","97","67","164"
"",""," Total","1202","1054","2256"
"","SAN CRISTOBAL                 "," EL PROGRESO","401","257","658"
"",""," ISLA SANTA MARIA (FLOREANA)","88","57","145"
"",""," PUERTO BAQUERIZO MORENO","3498","3174","6672"
"",""," Total","3987","3488","7475"
"","SANTA CRUZ                    "," BELLAVISTA","1251","1174","2425"
"",""," PUERTO AYORA","6064","5910","11974"
"",""," SANTA ROSA","517","477","994"
"",""," Total","7832","7561","15393"
"","Total","","13021","12103","25124"
"Sucumbíos","CASCALES                      "," EL DORADO DE CASCALES","3955","3619","7574"
"",""," SANTA ROSA DE SUCUMBIOS","442","339","781"
"",""," SEVILLA","1410","1339","2749"
"",""," Total","5807","5297","11104"
"","CUYABENO                      "," AGUAS NEGRAS","771","692","1463"
"",""," CUYABENO","219","173","392"
"",""," TARAPOA","3042","2236","5278"
"",""," Total","4032","3101","7133"
"","GONZALO PIZARRO               "," EL REVENTADOR","802","699","1501"
"",""," GONZALO PIZARRO","1503","1452","2955"
"",""," LUMBAQUI","1724","1501","3225"
"",""," PUERTO LIBRE","494","424","918"
"",""," Total","4523","4076","8599"
"","LAGO AGRIO                    "," DURENO","1431","1325","2756"
"",""," EL ENO","3424","3212","6636"
"",""," GENERAL FARFAN","3691","3078","6769"
"",""," JAMBELI","1772","1543","3315"
"",""," NUEVA LOJA","29017","28710","57727"
