"Provincia","Nombre del Cantón","Nombre de la Parroquia","Hombre","Mujer","Total"
"","BIBLIAN                       "," BIBLIAN","6106","7599","13705"
"",""," JERUSALEN","761","984","1745"
"",""," NAZON","1106","1459","2565"
"",""," SAN FRANCISCO DE SAGEO","765","966","1731"
"",""," TURUPAMBA","455","616","1071"
"",""," Total","9193","11624","20817"
"","CAÑAR                         "," CAÑAR","8509","9826","18335"
"",""," CHONTAMARCA","1916","2224","4140"
"",""," CHOROCOPTE","1397","1691","3088"
"",""," DUCUR","2077","2076","4153"
"",""," GENERAL MORALES","1609","1791","3400"
"",""," GUALLETURO","1756","2086","3842"
"",""," HONORATO VASQUEZ","2697","3529","6226"
"",""," INGAPIRCA","3683","4657","8340"
"",""," JUNCAL","976","1193","2169"
"",""," SAN ANTONIO","1024","950","1974"
"",""," VENTURA","632","656","1288"
"",""," ZHUD","1094","1274","2368"
"",""," Total","27370","31953","59323"
"","DELEG                         "," DELEG","1878","2555","4433"
"",""," SOLANO","751","916","1667"
"",""," Total","2629","3471","6100"
"","EL TAMBO                      "," EL TAMBO","4364","5111","9475"
"",""," Total","4364","5111","9475"
"","LA TRONCAL                    "," LA TRONCAL","21176","21434","42610"
"",""," MANUEL J. CALLE","1442","1323","2765"
"",""," PANCHO NEGRO","4702","4312","9014"
"",""," Total","27320","27069","54389"
"","SUSCAL                        "," SUSCAL","2271","2745","5016"
"",""," Total","2271","2745","5016"
""," Total","","105235","119949","225184"
"Carchi","BOLIVAR                       "," BOLIVAR","2623","2583","5206"
"",""," GARCIA MORENO","695","711","1406"
"",""," LOS ANDES","1082","1178","2260"
"",""," MONTE OLIVO","889","801","1690"
"",""," SAN RAFAEL","873","868","1741"
"",""," SAN VICENTE DE PUSIR","1004","1040","2044"
"",""," Total","7166","7181","14347"
"","ESPEJO                        "," EL ANGEL","3044","3281","6325"
"",""," EL GOALTAL","436","380","816"
"",""," LA LIBERTAD (ALIZO)","1741","1761","3502"
"",""," SAN ISIDRO","1306","1415","2721"
"",""," Total","6527","6837","13364"
"","","","Hombre","Mujer","Total"
"","MIRA                          "," CONCEPCION","1414","1393","2807"
"",""," JIJON Y CAAMAÑO","1101","970","2071"
"",""," JUAN MONTALVO","671","637","1308"
"",""," MIRA (CHONTAHUASI)","2935","3059","5994"
"",""," Total","6121","6059","12180"
"","MONTUFAR                      "," CHITAN DE NAVARRETE","313","305","618"
"",""," CRISTOBAL COLON","1449","1494","2943"
"",""," FERNANDEZ SALVADOR","663","619","1282"
"",""," LA PAZ","1665","1767","3432"
"",""," PIARTAL","586","554","1140"
"",""," SAN GABRIEL","10234","10862","21096"
"",""," Total","14910","15601","30511"
"","SAN PEDRO DE HUACA            "," HUACA","3163","3078","6241"
"",""," MARISCAL SUCRE","684","699","1383"
"",""," Total","3847","3777","7624"
"","TULCAN                        "," EL CARMELO (EL PUN)","1405","1384","2789"
"",""," EL CHICAL","1756","1681","3437"
"",""," JULIO ANDRADE (OREJUELA)","4876","4758","9634"
"",""," MALDONADO","893","810","1703"
"",""," PIOTER","367","351","718"
"",""," SANTA MARTHA DE CUBA","1196","1170","2366"
